iter	MAE	RMSE
800	0.06822091726	0.09205551344
801	0.06817259676	0.09197988947
802	0.06811890437	0.09190639176
803	0.06808202053	0.09184339302
804	0.06796413929	0.0916755597
805	0.06793124855	0.09163093992
806	0.06791727558	0.09160750945
807	0.06788737413	0.09155482645
808	0.06784143204	0.09148949367
809	0.06780788341	0.09144054499
810	0.06777211535	0.09137631096
811	0.06772549633	0.09129105927
812	0.06768116869	0.0912322661
813	0.06767621743	0.09122647102
814	0.06760363135	0.09111604834
815	0.06752716083	0.09101984087
816	0.06751958127	0.09101254362
817	0.06749663273	0.09098718083
818	0.06745974921	0.09093483756
819	0.0674292443	0.09090123497
820	0.06742347181	0.09089526788
821	0.06734881947	0.09079499886
822	0.06730482593	0.09074019343
823	0.06726645758	0.09069415306
824	0.06718907981	0.09057636019
825	0.06713494896	0.09049973318
826	0.06708305332	0.09044406092
827	0.06706025798	0.09041828384
828	0.06704053362	0.09039348171
829	0.06700401223	0.09035168646
830	0.0669742922	0.09031712635
831	0.0669430008	0.09027811598
832	0.06689301025	0.09022141428
833	0.06686350116	0.09018908566
834	0.06676386642	0.09007087954
835	0.06669935637	0.08998399092
836	0.0666909995	0.08996502017
837	0.0666375023	0.0899007594
838	0.06661635033	0.08987707884
839	0.06658405924	0.0898402492
840	0.06657669153	0.08982985412
841	0.06652968818	0.08975561178
842	0.06651382414	0.08973543997
843	0.06645039467	0.08962404528
844	0.06638124548	0.08953524655
845	0.0663206358	0.08945824873
846	0.06626944521	0.08939438042
847	0.06622643247	0.08934656338
848	0.06619478322	0.08930626103
849	0.06617694259	0.08928698266
850	0.06608372919	0.08917833835
851	0.06605058404	0.08913164388
852	0.06600592126	0.08909011585
853	0.06599146499	0.08907037425
854	0.06593561236	0.08898533802
855	0.0658985151	0.08893767235
856	0.06585396899	0.08887927986
857	0.06583676456	0.08885807481
858	0.06578405171	0.08878672545
859	0.06571896841	0.08868709201
860	0.06567097495	0.08861156671
861	0.06559972543	0.08851437972
862	0.06548825896	0.08835839427
863	0.06542990387	0.08828003773
864	0.06540997413	0.08824822078
865	0.06538726562	0.08822129703
866	0.06537914513	0.08820585256
867	0.06536565522	0.08819094773
868	0.06531110948	0.08813703353
869	0.06528639742	0.08809325899
870	0.06526953231	0.08805653919
871	0.06524472832	0.08802219133
872	0.06518190426	0.0879427437
873	0.06513872749	0.08786859187
874	0.06513665156	0.08786406499
875	0.06508234118	0.08779654943
876	0.06502024871	0.087721741
877	0.06496385425	0.08766378044
